Wizards.mp3
true
Trans Siberian Orchestra - Wizards of Winter
Classic
115966	8		 Guitar Riff 2
116043	6,4,2	5,3,1	 [VERSE 02]
116113	8		 Guitar Riff 2
116203		8	
116470	7,5,3	6,4,2	 [VERSE 02]
116583	8		 Guitar Riff 2
116673		8	
116763	1,6,4,8	7,5,3	 Guitar Riff 2 [V2]
116853		8	
116951	8		 Guitar Riff 2
117041		8	
117267	2,7,5	1,6,4	 [VERSE 02]
117373	8		 Guitar Riff 2
117463		8	
117555	8		 Guitar Riff 2
117645		8	
117665	3,1,6	2,7,5	 [VERSE 02]
117725	8		 Guitar Riff 2
117815		8	
118090	4,2,7	3,1,6	 [VERSE 02]
118195	8		 Guitar Riff 2
118285		8	
118382	8		 Guitar Riff 2
118472		8	
118498	5,3	4,2,7	 [VERSE 02]
118554	8		 Guitar Riff 2
118644		8	
118907	6,4	5,3	 [VERSE 02]
118982	8		 Guitar Riff 2
119072		8	
119179	8		 Guitar Riff 2
119269		8	
119321	7,5,8	6,4	 Guitar Riff 2 [V2]
119411		8	
119745	6	7,5	 [VERSE 02]
119834	8		 Guitar Riff 2
119924		8	
120015	8		 Guitar Riff 2
120105		8	
120168	1,2,3,4,5,6,7,8		 Guitar Riff 2 [V2]
120258		8	
120619	8		 Guitar Riff 2
120709		8	
120798	8		 Guitar Riff 2
120888		8	
120983	8		 Guitar Riff 2
121073		8	
121435	8		 Guitar Riff 2
121525		8	
121619	8		 Guitar Riff 2
121709		8	
121785	8		 Guitar Riff 2
121875		8	
122255	8		 Guitar Riff 2
122345		8	
122434	8		 Guitar Riff 2
122524		8	
122613	8		 Guitar Riff 2
122703		8	
123079	8		 Guitar Riff 2
123169		8	
123262	8		 Guitar Riff 2
123352		8	
123404	8		 Guitar Riff 2
123494		8	
123871	8		 Guitar Riff 2
123961		8	
124063	8		 Guitar Riff 2
124153		8	
124234	8		 Guitar Riff 2
124324		8	
124695	8		 Guitar Riff 2
124785		8	
